method,reward_mean,reward_std,reward_standard_error,reward_p10,reward_p90,log_ppl_ratio_mean,ppl_ratio_mean,latency_mean_seconds,latency_std_seconds,invalid_fraction,boundary_count_mean,boundary_count_p90,decision_seconds_total,decision_ms_per_channel,reward_gap_to_ppo,paired_reward_difference_vs_ppo_mean,paired_reward_difference_ci95_low,paired_reward_difference_ci95_high,paired_win_rate_vs_ppo
ppo_deterministic,-0.3838152289390564,0.0642332062125206,0.008092624135315418,-0.45325541496276855,-0.3493637442588806,0.20740142464637756,1.2352815382635187,0.7351279258728027,0.07658684253692627,0.0,2.0625,2.0,0.6852857000012591,10.707589062519673,0.0,0.0,0.0,0.0,0.0
edge_shard_uav,-0.4240442216396332,0.028485912829637527,0.0035888878628611565,-0.4615846276283264,-0.38688597083091736,0.3150482773780823,1.3723175117021111,0.6994509696960449,0.011280564591288567,0.0,2.0,2.0,17.021632100000716,265.9630015625112,-0.04022899270057678,-0.04022902250289917,-0.057752713561058044,-0.022705333307385445,0.15625
hexgen_inspired,-0.37292563915252686,0.020844455808401108,0.0026261545717716217,-0.40248873829841614,-0.34987157583236694,0.2049049437046051,1.2282542339824294,0.7098253965377808,0.015297546051442623,0.0,2.0,2.0,50.8148530999988,793.9820796874812,0.010889589786529541,0.010889573954045773,-0.004879298619925976,0.026658445596694946,0.296875
jointdnn_multi_uav,-0.3986467719078064,0.02329033426940441,0.002934306161478162,-0.4259744882583618,-0.37267181277275085,0.26102516055107117,1.2999059074825552,0.7036869525909424,0.01701825112104416,0.0,2.0,2.0,116.95581680000032,1827.434637500005,-0.01483154296875,-0.014831554144620895,-0.032614223659038544,0.0029511135071516037,0.15625
pipeedge_uav_latency,-0.4318869113922119,0.03595688194036484,0.00453014113008976,-0.4765240252017975,-0.3962244987487793,0.33029890060424805,1.3946436361060757,0.7000215649604797,0.011889957822859287,0.0,2.0,2.0,7.215063399999053,112.7353656249852,-0.04807168245315552,-0.0480717271566391,-0.0659499540925026,-0.030193502083420753,0.15625
petals_balanced,-0.8025239706039429,0.08773535490036011,0.011053615249693394,-0.9050600528717041,-0.714181661605835,0.5310856699943542,1.7225442992882964,1.4092442989349365,0.03762073814868927,0.0,4.0,4.0,7.211773099999846,112.68395468749759,-0.4187087416648865,-0.4187086820602417,-0.4447534680366516,-0.3926638960838318,0.0
neurosurgeon_inspired,-0.3881787359714508,0.018676772713661194,0.0023530523758381605,-0.4169232249259949,-0.366092324256897,0.23836559057235718,1.270108223517334,0.7059484720230103,0.018848417326807976,0.0,2.0,2.0,13.379241600001478,209.0506500000231,-0.004363507032394409,-0.004363498650491238,-0.020974051207304,0.0122470548376441,0.171875
simulated_annealing,-0.37388062477111816,0.016694651916623116,0.002103328239172697,-0.39365971088409424,-0.3538999557495117,0.20351161062717438,1.2263098588240435,0.7141599655151367,0.017747875303030014,0.0,2.0,2.0,190.28327459999855,2973.1761656249773,0.009934604167938232,0.009934591129422188,-0.005966221913695335,0.02583540417253971,0.265625
random_feasible,-3.477950096130371,2.1918842792510986,0.2761514484882355,-6.73264217376709,-0.9327419400215149,2.8388047218322754,127.66368346271595,5.402419090270996,3.549375057220459,0.0,8.46875,13.700000000000003,0.5693123000000924,8.895504687501443,-3.0941348671913147,-3.094135046005249,-3.634769916534424,-2.553500175476074,0.015625
